,School,CourseID,Descriptions
0,Pepperdine,THEA 440 Scene Painting...........................................................125 ,Certain other courses have fees that are listed with the course description in the Schedule of Classes. All course/departmental fees are nonrefundable. 
1,Pepperdine,"SPAN 430 (PS, RM), SPAN 440 or SPAN 450 (RM, WI), ","SPAN 470 (PS, RM, WI) History: HIST 200, 480, and 481 (PS, RM, WI) Integrated Marketing Communication: BA 352 (WI), COM 490 (RM) International Business: BA 366 (WI), BA 497 (RM), BA 498 (PS) International Studies: INTS 514 and INTS 497 (PS, RM, WI) Italian Studies: ITAL 341 (WI), ITAL 450 (RM, WI), ITAL 462 (PS, WI) Journalism: COM 300 (RM, WI), JOUR 445 (PS) Liberal Arts for Education: EDUC 490 (PS, RM, WI) Mathematics: MATH 320 (PS, RM, WI) Mathematics Education: MATH 320 (PS, RM, WI) Music: MUS 392 and MUS 492 (PS, RM, WI), MUS 354 and MUS 355 (RM, "
2,Pepperdine,"SPAN 470 (PS, RM, WI) History: HIST 200, 480, and 481 (PS, RM, WI) Integrated Marketing Communication: BA 352 (WI), COM 490 (RM) International Business: BA 366 (WI), BA 497 (RM), BA 498 (PS) International Studies: INTS 514 and INTS 497 (PS, RM, WI) Italian Studies: ITAL 341 (WI), ITAL 450 (RM, WI), ITAL 462 (PS, WI) Journalism: COM 300 (RM, WI), JOUR 445 (PS) Liberal Arts for Education: EDUC 490 (PS, RM, WI) Mathematics: MATH 320 (PS, RM, WI) Mathematics Education: MATH 320 (PS, RM, WI) Music: MUS 392 and MUS 492 (PS, RM, WI), MUS 354 and MUS 355 (RM, ","WI), MUS 493 (PS) Nutritional Science: NUTR 440 (WI), MATH 317 (PS, RM) Philosophy: PHIL 480 (PS, RM, WI) Physics: PHYS 201 (PS), PHYS 380 (RM, WI) Political Science: POSC 311, or 344, or 353 (WI), "
3,Pepperdine,"POSC 250 or 310 or 460 (PS, RM) Psychology: PSYC 310 (PS, RM, WI) Public Relations: COM 300 (RM, WI), PR 555 (PS) Religion: REL 302, 502 (PS, RM, WI) Screen Arts: COM 300, 301, 302, 303 (RM, WI), SART 497 (PS) ","Sociology: SOC 310 (PS, RM, WI) Sport Administration: BA 352 (WI), COM 302 or 303 (RM, WI), SPAD 480 (PS) Sports Medicine: MATH 317 (PS, RM) SPME 250 (RM, PS, WI), "
4,Pepperdine,IPIN 295L International Programs’ Internship II (1–3) ,Designed to accompany IPIN 295 in cases where a student seeks additional internship units. Offered only in International Programs. To be taken concurrently with IPIN 295. Cr/NC grading only. 
5,Pepperdine,IPIN 495 International Programs’ Internship (1) ,"A supervised academic internship in a student’s area of interest overseas in an international program. Internships may be with a non-profit, government agency, political, religious, educational, business or humanitarian organization. The student is required to maintain a regular schedule of on-duty hours each week and attend the internship seminar. Offered only in International Programs. "
6,Pepperdine,IPIN 495L International Programs’ Internship II (1–3) ,Designed to accompany IPIN 495 in cases where a student seeks additional internship units. Offered only in International Programs. To be taken concurrently with IPIN 495. Cr/NC grading only. 
7,Pepperdine,AC 224 Financial Accounting....................................................(4) AC 225 Managerial Accounting................................................. (3) BA 210 Introduction to Microeconomics (GE).............................. (3) ,"BA 212 Business Computing Applications................................... (2) BA 216 Statistical Analysis for Business Decisions.........................(4) ECON 211 Introduction to Macroeconomics (GE)............................. (3) MATH 140 Calculus for Business and Economics (GE)........................(4) MATH 141 Probability, Linear Systems, and "
8,Pepperdine,"BA 216, POSC 250, SOC 250, COM 240, ",or ECON310 or consent of instructor) BA 471 Marketing Strategy (prerequisite BA 355)......................... (3) BA 474 International Marketing (prerequisite BA 355).................. (3) 
9,Pepperdine,ECON 200 Economic Principles (GE)..............................................(4) or BA 210 Introduction to Microeconomics..................................... (3) BA 352 Management Theory and Practice................................... (3), or BA 366 Organizational Behavior............................................... (3) BA 355 Principles of Marketing BA 470 Marketing Research......................................................(4) 
